https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 4
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://www.stanford.edu/  Earnings: $0.005 | Timer: 25
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 25
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://www.brown.edu/  Earnings: $0.005 | Timer: 25
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://ucsd.edu/  Earnings: $0.001 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.05 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 4
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 6
https://www.futureads.com/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.tamu.edu/  Earnings: $0.005 | Timer: 25
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.002 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.brown.edu/  Earnings: $0.005 | Timer: 25
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
http://www.iecs.com.pk/  Earnings: $0.001 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 5
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 4
https://www.brown.edu/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 4
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 25
https://www.tamu.edu/  Earnings: $0.005 | Timer: 7
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
http://www.mecatech.com.pk/  Earnings: $0.002 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.001 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.jhu.edu/  Earnings: $0.005 | Timer: 25
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 25
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.tamu.edu/  Earnings: $0.005 | Timer: 7
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://www.jhu.edu/  Earnings: $0.001 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.001 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 25
https://www.futureads.com/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 25
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 5
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 25
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.tamu.edu/  Earnings: $0.005 | Timer: 7
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
http://www.adthem.com/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.futureads.com/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.tamu.edu/  Earnings: $0.005 | Timer: 25
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.tamu.edu/  Earnings: $0.005 | Timer: 7
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
http://www.iecs.com.pk/  Earnings: $0.001 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 25
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://ucsd.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 4
https://ucsd.edu/  Earnings: $0.005 | Timer: 25
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://www.stanford.edu/  Earnings: $0.005 | Timer: 6
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
http://www.findmebest.com/  Earnings: $0.001 | Timer: 15
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://ucsd.edu  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 6
https://ucsd.edu/  Earnings: $0.005 | Timer: 4
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 7
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.001 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 25
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 5
https://www.tamu.edu/  Earnings: $0.005 | Timer: 7
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.001 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.001 | Timer: 15
https://www.stanford.edu/  Earnings: $0.001 | Timer: 15
https://www.umich.edu/  Earnings: $0.005 | Timer: 3
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
http://www.bigfreeads.com/  Earnings: $0.005 | Timer: 15
http://www.adthem.com/  Earnings: $0.005 | Timer: 6
https://ucsd.edu/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.brown.edu/  Earnings: $0.005 | Timer: 4
https://www.umich.edu/  Earnings: $0.005 | Timer: 4
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.brown.edu/  Earnings: $0.005 | Timer: 25
https://www.futureads.com/  Earnings: $0.002 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 4
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://www.jhu.edu/  Earnings: $0.005 | Timer: 5
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://www.jhu.edu/  Earnings: $0.005 | Timer: 15
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.umich.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.005 | Timer: 15
http://www.adthem.com/  Earnings: $0.005 | Timer: 25
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 3
https://www.stanford.edu/  Earnings: $0.005 | Timer: 4
https://www.synergyadsbizint.com/  Earnings: $0.005 | Timer: 7
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://ucsd.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 15
https://www.tamu.edu/  Earnings: $0.005 | Timer: 5
https://www.jhu.edu/  Earnings: $0.005 | Timer: 7
